year,month,T06_C,T14_C,T22_C
1853,11,1.7,5.4,2.7
1853,12,-2.4,0.5,-1.9
1854,1,-3.9,-0.5,-2.8
1854,2,-2.5,2.5,-0.9
1854,3,0.2,7.1,2.3
1854,4,5.0,14.1,7.7
1854,5,9.9,19.1,12.2
1854,6,14.4,23.5,16.2
1854,7,15.3,25.1,17.7
1854,8,14.9,24.0,17.3
1854,9,10.6,20.2,13.2
1854,10,6.8,14.5,8.8
1854,11,1.7,5.4,2.7
1854,12,-2.4,0.5,-1.9
1855,1,-3.9,-0.5,-2.8
1855,2,-2.5,2.5,-0.9
1855,3,0.2,7.1,2.3
1855,4,5.0,14.1,7.7
1855,5,9.9,19.1,12.2
1855,6,14.4,23.5,16.2
1855,7,15.3,25.1,17.7
1855,8,14.9,24.0,17.3
1855,9,10.6,20.2,13.2
1855,10,6.8,14.5,8.8
1855,11,1.7,5.4,2.7
1855,12,-2.4,0.5,-1.9
1856,1,-3.9,-0.5,-2.8
1856,2,-2.5,2.5,-0.9
1856,3,0.2,7.1,2.3
1856,4,5.0,14.1,7.7
1856,5,9.9,19.1,12.2
1856,6,14.4,23.5,16.2
1856,7,15.3,25.1,17.7
1856,8,14.9,24.0,17.3
1856,9,10.6,20.2,13.2
1856,10,6.8,14.5,8.8
1856,11,1.7,5.4,2.7
1856,12,-2.4,0.5,-1.9
1857,1,-3.9,-0.5,-2.8
1857,2,-2.5,2.5,-0.9
1857,3,0.2,7.1,2.3
1857,4,5.0,14.1,7.7
1857,5,9.9,19.1,12.2
1857,6,14.4,23.5,16.2
1857,7,15.3,25.1,17.7
1857,8,14.9,24.0,17.3
1857,9,10.6,20.2,13.2
1857,10,6.8,14.5,8.8
1857,11,1.7,5.4,2.7
1857,12,-2.4,0.5,-1.9
1858,1,-3.9,-0.5,-2.8
1858,2,-2.5,2.5,-0.9
1858,3,0.2,7.1,2.3
1858,4,5.0,14.1,7.7
1858,5,9.9,19.1,12.2
1858,6,14.4,23.5,16.2
1858,7,15.3,25.1,17.7
1858,8,14.9,24.0,17.3
1858,9,10.6,20.2,13.2
1858,10,6.8,14.5,8.8
1858,11,1.7,5.4,2.7
1858,12,-2.4,0.5,-1.9
1859,1,-3.9,-0.5,-2.8
1859,2,-2.5,2.5,-0.9
1859,3,0.2,7.1,2.3
1859,4,5.0,14.1,7.7
1859,5,9.9,19.1,12.2
1859,6,14.4,23.5,16.2
1859,7,15.3,25.1,17.7
1859,8,14.9,24.0,17.3
1859,9,10.6,20.2,13.2
1859,10,6.8,14.5,8.8
1859,11,1.7,5.4,2.7
1859,12,-2.4,0.5,-1.9
1860,1,-3.9,-0.5,-2.8
1860,2,-2.5,2.5,-0.9
1860,3,0.2,7.1,2.3
1860,4,5.0,14.1,7.7
1860,5,9.9,19.1,12.2
1860,6,14.4,23.5,16.2
1860,7,15.3,25.1,17.7
1860,8,14.9,24.0,17.3
1860,9,10.6,20.2,13.2
1860,10,6.8,14.5,8.8
1860,11,1.7,5.4,2.7
1860,12,-2.4,0.5,-1.9
1861,1,-3.9,-0.5,-2.8
1861,2,-2.5,2.5,-0.9
1861,3,0.2,7.1,2.3
1861,4,5.0,14.1,7.7
1861,5,9.9,19.1,12.2
1861,6,14.4,23.5,16.2
1861,7,15.3,25.1,17.7
1861,8,14.9,24.0,17.3
1861,9,10.6,20.2,13.2
1861,10,6.8,14.5,8.8
1861,11,1.7,5.4,2.7
1861,12,-2.4,0.5,-1.9
1862,1,-3.9,-0.5,-2.8
1862,2,-2.5,2.5,-0.9
1862,3,0.2,7.1,2.3
1862,4,5.0,14.1,7.7
1862,5,9.9,19.1,12.2
1862,6,14.4,23.5,16.2
1862,7,15.3,25.1,17.7
1862,8,14.9,24.0,17.3
1862,9,10.6,20.2,13.2
1862,10,6.8,14.5,8.8
1862,11,1.7,5.4,2.7
1862,12,-2.4,0.5,-1.9
1863,1,-3.9,-0.5,-2.8
1863,2,-2.5,2.5,-0.9
1863,3,0.2,7.1,2.3
1863,4,5.0,14.1,7.7
1863,5,9.9,19.1,12.2
1863,6,14.4,23.5,16.2
1863,7,15.3,25.1,17.7
1863,8,14.9,24.0,17.3
1863,9,10.6,20.2,13.2
1863,10,6.8,14.5,8.8
1863,11,1.7,5.4,2.7
1863,12,-2.4,0.5,-1.9
1864,1,-3.9,-0.5,-2.8
1864,2,-2.5,2.5,-0.9
1864,3,0.2,7.1,2.3
1864,4,5.0,14.1,7.7
1864,5,9.9,19.1,12.2
1864,6,14.4,23.5,16.2
1864,7,15.3,25.1,17.7
1864,8,14.9,24.0,17.3
1864,9,10.6,20.2,13.2
1864,10,6.8,14.5,8.8
1864,11,1.7,5.4,2.7
1864,12,-2.4,0.5,-1.9
1865,1,-3.9,-0.5,-2.8
1865,2,-2.5,2.5,-0.9
1865,3,0.2,7.1,2.3
1865,4,5.0,14.1,7.7
1865,5,9.9,19.1,12.2
1865,6,14.4,23.5,16.2
1865,7,15.3,25.1,17.7
1865,8,14.9,24.0,17.3
1865,9,10.6,20.2,13.2
1865,10,6.8,14.5,8.8
1865,11,1.7,5.4,2.7
1865,12,-2.4,0.5,-1.9
1866,1,-3.9,-0.5,-2.8
1866,2,-2.5,2.5,-0.9
1866,3,0.2,7.1,2.3
1866,4,5.0,14.1,7.7
1866,5,9.9,19.1,12.2
1866,6,14.4,23.5,16.2
1866,7,15.3,25.1,17.7
1866,8,14.9,24.0,17.3
1866,9,10.6,20.2,13.2
1866,10,6.8,14.5,8.8
1866,11,1.7,5.4,2.7
1866,12,-2.4,0.5,-1.9
1867,1,-3.9,-0.5,-2.8
1867,2,-2.5,2.5,-0.9
1867,3,0.2,7.1,2.3
1867,4,5.0,14.1,7.7
1867,5,9.9,19.1,12.2
1867,6,14.4,23.5,16.2
1867,7,15.3,25.1,17.7
1867,8,14.9,24.0,17.3
1867,9,10.6,20.2,13.2
1867,10,6.8,14.5,8.8
1867,11,1.7,5.4,2.7
1867,12,-2.4,0.5,-1.9
1868,1,-3.9,-0.5,-2.8
1868,2,-2.5,2.5,-0.9
1868,3,0.2,7.1,2.3
1868,4,5.0,14.1,7.7
1868,5,9.9,19.1,12.2
1868,6,14.4,23.5,16.2
1868,7,15.3,25.1,17.7
1868,8,14.9,24.0,17.3
1868,9,10.6,20.2,13.2
1868,10,6.8,14.5,8.8
1868,11,1.7,5.4,2.7
1868,12,-2.4,0.5,-1.9
1869,1,-3.9,-0.5,-2.8
1869,2,-2.5,2.5,-0.9
1869,3,0.2,7.1,2.3
1869,4,5.0,14.1,7.7
1869,5,9.9,19.1,12.2
1869,6,14.4,23.5,16.2
1869,7,15.3,25.1,17.7
1869,8,14.9,24.0,17.3
1869,9,10.6,20.2,13.2
1869,10,6.8,14.5,8.8
1869,11,1.7,5.4,2.7
1869,12,-2.4,0.5,-1.9
1870,1,-3.9,-0.5,-2.8
1870,2,-2.5,2.5,-0.9
1870,3,0.2,7.1,2.3
1870,4,5.0,14.1,7.7
1870,5,9.9,19.1,12.2
1870,6,14.4,23.5,16.2
1870,7,15.3,25.1,17.7
1870,8,14.9,24.0,17.3
1870,9,10.6,20.2,13.2
1870,10,6.8,14.5,8.8
1870,11,1.7,5.4,2.7
1870,12,-2.4,0.5,-1.9
1871,1,-3.9,-0.5,-2.8
1871,2,-2.5,2.5,-0.9
1871,3,0.2,7.1,2.3
1871,4,5.0,14.1,7.7
1871,5,9.9,19.1,12.2
1871,6,14.4,23.5,16.2
1871,7,15.3,25.1,17.7
1871,8,14.9,24.0,17.3
1871,9,10.6,20.2,13.2
1871,10,6.8,14.5,8.8
1871,11,1.7,5.4,2.7
1871,12,-2.4,0.5,-1.9
1872,1,-3.9,-0.5,-2.8
1872,2,-2.5,2.5,-0.9
1872,3,0.2,7.1,2.3
1872,4,5.0,14.1,7.7
1872,5,9.9,19.1,12.2
1872,6,14.4,23.5,16.2
1872,7,15.3,25.1,17.7
1872,8,14.9,24.0,17.3
1872,9,10.6,20.2,13.2
1872,10,6.8,14.5,8.8
1872,11,1.7,5.4,2.7
1872,12,-2.4,0.5,-1.9
1873,1,-3.9,-0.5,-2.8
1873,2,-2.5,2.5,-0.9
1873,3,0.2,7.1,2.3
1873,4,5.0,14.1,7.7
1873,5,9.9,19.1,12.2
1873,6,14.4,23.5,16.2
1873,7,15.3,25.1,17.7
1873,8,14.9,24.0,17.3
1873,9,10.6,20.2,13.2
1873,10,6.8,14.5,8.8
1873,11,1.7,5.4,2.7
1873,12,-2.4,0.5,-1.9
1874,1,-3.9,-0.5,-2.8
1874,2,-2.5,2.5,-0.9
1874,3,0.2,7.1,2.3
1874,4,5.0,14.1,7.7
1874,5,9.9,19.1,12.2
1874,6,14.4,23.5,16.2
1874,7,15.3,25.1,17.7
1874,8,14.9,24.0,17.3
1874,9,10.6,20.2,13.2
1874,10,6.8,14.5,8.8
1874,11,1.7,5.4,2.7
1874,12,-2.4,0.5,-1.9
1875,1,-3.9,-0.5,-2.8
1875,2,-2.5,2.5,-0.9
1875,3,0.2,7.1,2.3
1875,4,5.0,14.1,7.7
1875,5,9.9,19.1,12.2
1875,6,14.4,23.5,16.2
1875,7,15.3,25.1,17.7
1875,8,14.9,24.0,17.3
1875,9,10.6,20.2,13.2
1875,10,6.8,14.5,8.8
1875,11,1.7,5.4,2.7
1875,12,-2.4,0.5,-1.9
1876,1,-3.9,-0.5,-2.8
1876,2,-2.5,2.5,-0.9
1876,3,0.2,7.1,2.3
1876,4,5.0,14.1,7.7
1876,5,9.9,19.1,12.2
1876,6,14.4,23.5,16.2
1876,7,15.3,25.1,17.7
1876,8,14.9,24.0,17.3
1876,9,10.6,20.2,13.2
1876,10,6.8,14.5,8.8
1876,11,1.7,5.4,2.7
1876,12,-2.4,0.5,-1.9
1877,1,-3.9,-0.5,-2.8
1877,2,-2.5,2.5,-0.9
1877,3,0.2,7.1,2.3
1877,4,5.0,14.1,7.7
1877,5,9.9,19.1,12.2
1877,6,14.4,23.5,16.2
1877,7,15.3,25.1,17.7
1877,8,14.9,24.0,17.3
1877,9,10.6,20.2,13.2
1877,10,6.8,14.5,8.8
1877,11,1.7,5.4,2.7
1877,12,-2.4,0.5,-1.9
1878,1,-3.9,-0.5,-2.8
1878,2,-2.5,2.5,-0.9
1878,3,0.2,7.1,2.3
1878,4,5.0,14.1,7.7
1878,5,9.9,19.1,12.2
1878,6,14.4,23.5,16.2
1878,7,15.3,25.1,17.7
1878,8,14.9,24.0,17.3
1878,9,10.6,20.2,13.2
1878,10,6.8,14.5,8.8
1878,11,1.7,5.4,2.7
1878,12,-2.4,0.5,-1.9
1879,1,-3.9,-0.5,-2.8
1879,2,-2.5,2.5,-0.9
1879,3,0.2,7.1,2.3
1879,4,5.0,14.1,7.7
1879,5,9.9,19.1,12.2
1879,6,14.4,23.5,16.2
1879,7,15.3,25.1,17.7
1879,8,14.9,24.0,17.3
1879,9,10.6,20.2,13.2
1879,10,6.8,14.5,8.8
1879,11,1.7,5.4,2.7
1879,12,-2.4,0.5,-1.9
1880,1,-3.9,-0.5,-2.8
1880,2,-2.5,2.5,-0.9
1880,3,0.2,7.1,2.3
1880,4,5.0,14.1,7.7
1880,5,9.9,19.1,12.2
1880,6,14.4,23.5,16.2
1880,7,15.3,25.1,17.7
1880,8,14.9,24.0,17.3
1880,9,10.6,20.2,13.2
1880,10,6.8,14.5,8.8
1880,11,1.7,5.4,2.7
1880,12,-2.4,0.5,-1.9
1881,1,-3.9,-0.5,-2.8
1881,2,-2.5,2.5,-0.9
1881,3,0.2,7.1,2.3
1881,4,5.0,14.1,7.7
1881,5,9.9,19.1,12.2
1881,6,14.4,23.5,16.2
1881,7,15.3,25.1,17.7
1881,8,14.9,24.0,17.3
1881,9,10.6,20.2,13.2
1881,10,6.8,14.5,8.8
1881,11,1.7,5.4,2.7
1881,12,-2.4,0.5,-1.9
1882,1,-3.9,-0.5,-2.8
1882,2,-2.5,2.5,-0.9
1882,3,0.2,7.1,2.3
1882,4,5.0,14.1,7.7
1882,5,9.9,19.1,12.2
1882,6,14.4,23.5,16.2
1882,7,15.3,25.1,17.7
1882,8,14.9,24.0,17.3
1882,9,10.6,20.2,13.2
1882,10,6.8,14.5,8.8
1882,11,1.7,5.4,2.7
1882,12,-2.4,0.5,-1.9
1883,1,-3.9,-0.5,-2.8
1883,2,-2.5,2.5,-0.9
1883,3,0.2,7.1,2.3
1883,4,5.0,14.1,7.7
1883,5,9.9,19.1,12.2
1883,6,14.4,23.5,16.2
1883,7,15.3,25.1,17.7
1883,8,14.9,24.0,17.3
1883,9,10.6,20.2,13.2
1883,10,6.8,14.5,8.8
1883,11,1.7,5.4,2.7
1883,12,-2.4,0.5,-1.9
